customer_id,first_name,last_name,date_of_birth,gender,annual_income,occupation,city,state,customer_since,customer_status
1,Isaac,Bakshi,2001-01-24,Female,120000.0,Accountant,Pune,Maharashtra,2016-04-12,Active
2,Yash,Kapoor,1960-02-06,Male,120000.0,Retired,Mangaluru,Karnataka,2024-02-18,Active
3,Harsh,Chahal,1990-10-14,Male,120000.0,Consultant,Hyderabad,Telangana,2018-10-12,Active
4,Azad,Balan,1956-12-23,Male,120000.0,Self Employed,Mumbai,Maharashtra,2015-04-28,Active
5,Viraj,Tiwari,1991-07-28,Male,120000.0,Retired,Kolkata,West Bengal,2012-01-20,Active
6,Rushil,Saini,1965-08-09,Male,120000.0,Doctor,Mangaluru,Karnataka,2019-03-31,Active
7,Arunima,Ahuja,2002-03-29,Male,120000.0,Business Owner,Mangaluru,Karnataka,2025-04-24,Inactive
8,Nathaniel,Sami,1973-10-03,Male,120000.0,Student,Mysuru,Karnataka,2016-04-30,Active
9,Nachiket,Kale,2002-07-23,Female,120000.0,Consultant,Hyderabad,Telangana,2017-04-30,Active
10,Harsh,Chanda,1976-06-16,Male,120000.0,Consultant,Bengaluru,Karnataka,2013-03-31,Active
11,Jagrati,Padmanabhan,1991-09-08,Male,120000.0,Business Owner,Mumbai,Maharashtra,2016-02-07,Active
12,Caleb,Sharaf,1987-02-04,Male,120000.0,Doctor,Mysuru,Karnataka,2013-09-22,Active
13,Kritika,Brar,1988-03-03,Other,120000.0,Accountant,Delhi,Delhi,2016-08-03,Active
14,Janaki,Handa,1998-07-20,Female,336517.88,Consultant,Mysuru,Karnataka,2012-10-14,Active
15,Chakradev,Kari,2003-03-18,Male,120000.0,Bank Employee,Jaipur,Rajasthan,2016-07-11,Active
16,Fariq,Kaul,1957-06-23,Male,120000.0,Retired,Delhi,Delhi,2018-01-26,Active
17,Arunima,Setty,1993-11-11,Male,120000.0,Sales Professional,Delhi,Delhi,2017-10-22,Active
18,Nicholas,Prabhakar,1974-10-12,Female,120000.0,Self Employed,Pune,Maharashtra,2015-03-02,Active
19,Amara,Bora,1992-01-21,Female,120000.0,Consultant,Pune,Maharashtra,2022-05-28,Active
20,Onveer,Walla,2000-03-21,Male,120000.0,Accountant,Mangaluru,Karnataka,2015-10-08,Inactive
21,Nihal,Shere,1976-06-04,Female,120000.0,Sales Professional,Mangaluru,Karnataka,2016-03-12,Active
22,Theodore,Nair,2002-11-20,Male,162709.84,Teacher,Kolkata,West Bengal,2024-10-20,Active
23,Daksh,Karnik,1952-10-14,Female,331636.03,Accountant,Pune,Maharashtra,2025-04-19,Active
24,Diya,Rattan,1968-10-27,Female,120000.0,Sales Professional,Hyderabad,Telangana,2012-09-23,Active
25,Siddharth,Murty,1965-01-26,Male,120000.0,Accountant,Mumbai,Maharashtra,2022-10-02,Active
26,Xalak,Randhawa,1994-05-08,Female,120000.0,Retired,Hyderabad,Telangana,2019-05-30,Active
27,Luke,Lanka,1960-02-08,Male,120000.0,Bank Employee,Pune,Maharashtra,2015-10-19,Active
28,Adya,Sangha,1990-04-24,Female,120000.0,Bank Employee,Jaipur,Rajasthan,2018-05-25,Active
29,Janaki,Kanda,1960-01-07,Male,120000.0,Teacher,Mumbai,Maharashtra,2020-04-09,Active
30,Wakeeta,Chand,2002-01-13,Female,120000.0,Government Employee,Delhi,Delhi,2012-05-27,Active
31,Imaran,Dua,1993-04-20,Other,120000.0,Doctor,Delhi,Delhi,2014-04-29,Active
32,Pahal,Bhatt,1976-10-14,Female,149129.92,Software Engineer,Pune,Maharashtra,2018-02-04,Active
33,Upadhriti,Wadhwa,1967-09-17,Female,120000.0,Government Employee,Delhi,Delhi,2021-01-05,Active
34,Advay,Contractor,1996-12-29,Female,120000.0,Business Owner,Bengaluru,Karnataka,2020-09-26,Active
35,Amara,Oak,1958-03-12,Male,125848.59,Government Employee,Kolkata,West Bengal,2016-08-05,Active
36,Radhika,Dugar,1981-06-24,Other,120000.0,Government Employee,Hyderabad,Telangana,2011-08-29,Active
37,Adya,Tella,2002-06-15,Female,120000.0,Teacher,Bengaluru,Karnataka,2014-08-23,Active
38,Yashica,Cherian,1993-02-25,Male,120000.0,Teacher,Hyderabad,Telangana,2016-09-05,Active
39,Yashica,Issac,1961-01-01,Female,120000.0,Sales Professional,Hyderabad,Telangana,2017-12-18,Inactive
40,Neel,Zacharia,2003-08-03,Female,120000.0,Bank Employee,Bengaluru,Karnataka,2020-08-16,Active
41,Aadi,Naik,1983-11-08,Male,202198.96,Student,Pune,Maharashtra,2011-12-08,Closed
42,Isaac,Patil,2005-07-03,Female,120000.0,Business Owner,Hyderabad,Telangana,2016-10-31,Closed
43,Wriddhish,Bhardwaj,1966-12-29,Male,120000.0,Teacher,Chennai,Tamil Nadu,2021-04-03,Active
44,Farhan,Chada,2000-05-29,Female,120000.0,Government Employee,Mangaluru,Karnataka,2019-11-14,Active
45,Ekapad,Walia,2002-09-19,Female,120000.0,Bank Employee,Delhi,Delhi,2013-09-28,Active
46,Kabir,Soman,1988-01-07,Male,122607.91,Business Owner,Mysuru,Karnataka,2014-05-31,Active
47,Alka,Wable,1991-11-18,Female,120000.0,Software Engineer,Mangaluru,Karnataka,2018-10-20,Active
