employee_id,branch_id,employee_name,job_role,hire_date,salary,employment_status
1,52,Aryan Maharaj,Investment Advisor,2015-10-08,40572.35,Active
2,75,Liam Chaudry,Investment Advisor,2023-02-11,66944.27,Active
3,24,Pahal Balay,Credit Analyst,2012-02-10,50801.64,Active
4,21,Tejas Kaul,Relationship Manager,2020-03-14,72395.25,Active
5,22,Rushil Saini,Risk Analyst,2015-05-09,79678.56,Active
6,92,Arunima Ahuja,Credit Analyst,2024-07-06,35124.12,Active
7,64,Pahal Oak,Risk Analyst,2016-04-30,62490.93,Active
8,39,Tanveer Nayar,Loan Officer,2013-05-05,49990.96,Leave
9,60,Lajita Chatterjee,Loan Officer,2017-09-16,57006.67,Active
10,92,Aishani Bassi,Operations Officer,2024-01-07,59182.57,Active
11,8,Jeet Radhakrishnan,Credit Analyst,2012-12-10,55253.8,Active
12,2,Janaki Handa,Customer Service Officer,2023-08-04,68615.39,Active
13,4,Chakradev Kari,Customer Service Officer,2024-10-02,27933.53,Leave
14,95,Fariq Kaul,Investment Advisor,2026-05-06,41549.31,Active
15,62,Lajita Mall,Investment Advisor,2019-04-26,70658.78,Active
16,24,Nicholas Prabhakar,Fraud Analyst,2017-08-24,75411.62,Resigned
17,60,Amara Bora,Risk Analyst,2021-12-19,44569.41,Active
18,9,Yash Gade,Investment Advisor,2019-06-20,50027.9,Active
19,8,Anamika Kanda,Investment Advisor,2023-04-02,82926.05,Active
20,41,Daksh Karnik,Operations Officer,2025-08-01,75903.54,Active
21,12,Diya Rattan,Loan Officer,2016-02-27,54939.52,Active
22,37,Siddharth Murty,Credit Analyst,2015-03-22,45734.87,Active
23,86,Meghana Shanker,Credit Analyst,2014-01-12,41637.63,Active
24,1,Liam Koshy,Teller,2024-04-11,58306.49,Active
25,14,Priya Rastogi,Operations Officer,2017-10-05,56801.22,Active
26,96,Lakshit Upadhyay,Operations Officer,2019-12-31,42704.3,Active
27,96,Champak Choudhary,Branch Manager,2014-03-15,55443.23,Active
28,43,Pahal Bhatt,Branch Manager,2018-02-23,67845.57,Leave
29,71,Upadhriti Wadhwa,Credit Analyst,2015-11-18,71361.01,Active
30,28,Ishwar Yadav,Branch Manager,2024-05-17,89802.25,Active
31,75,Harini Choudhury,Fraud Analyst,2016-08-05,53387.46,Active
32,1,Nakul Setty,Risk Analyst,2011-08-29,44286.74,Active
33,77,Xiti Gokhale,Risk Analyst,2020-03-28,44151.99,Active
34,62,Chanchal Tripathi,Teller,2021-12-18,50145.04,Active
35,44,Michael Prakash,Investment Advisor,2024-07-29,56587.87,Active
36,52,Aadi Naik,Relationship Manager,2019-12-01,68969.37,Active
37,58,Isaac Patil,Branch Manager,2025-10-01,79718.4,Active
38,56,Wriddhish Bhardwaj,Relationship Manager,2015-09-13,41393.88,Active
39,2,Frederick Sunder,Loan Officer,2025-06-26,51296.71,Active
40,1,Jeremiah Dave,Credit Analyst,2022-10-29,58136.11,Active
41,53,Noah Lanka,Fraud Analyst,2020-07-30,89320.65,Active
42,38,Siddharth Zacharia,Investment Advisor,2024-06-14,77899.64,Active
43,98,Devika Rastogi,Customer Service Officer,2023-01-11,91703.67,Active
44,73,Raksha Varughese,Customer Service Officer,2019-04-14,52244.49,Active
45,3,Yug Kar,Branch Manager,2012-09-09,40787.73,Active
46,19,Ansh Karpe,Branch Manager,2021-08-12,47154.96,Active
47,52,Abhimanyu Bobal,Risk Analyst,2023-08-24,43399.43,Leave
48,1,Veer Bir,Risk Analyst,2012-02-20,102999.26,Active
49,23,Ekavir Varkey,Fraud Analyst,2015-08-26,79596.95,Active
50,60,Vedika Kala,Relationship Manager,2020-10-10,38917.43,Active
51,48,Urvashi Kibe,Teller,2024-12-13,65575.6,Active
52,99,Niharika Gupta,Credit Analyst,2013-03-17,78718.86,Active
53,3,Raagini Pandya,Branch Manager,2018-10-23,65360.44,Active
54,75,Unni Bhagat,Relationship Manager,2023-01-22,67592.81,Active
55,38,Darsh Rau,Investment Advisor,2023-12-28,66341.79,Active
56,82,Ikbal Kothari,Loan Officer,2014-11-11,46628.96,Active
57,80,Saumya Dey,Risk Analyst,2018-10-12,37589.28,Active
58,8,Arya Shere,Operations Officer,2015-11-08,59346.55,Active
59,33,Saanvi Chaudhari,Credit Analyst,2012-06-18,37740.93,Active
60,51,Girik Khalsa,Customer Service Officer,2014-06-07,77044.27,Active
61,27,Vedika Srivastava,Loan Officer,2015-03-29,94383.43,Active
62,97,Daniel Gala,Teller,2018-01-18,37412.74,Active
63,48,Madhavi Lanka,Credit Analyst,2024-12-10,100503.42,Active
64,44,Bhavika Sampath,Teller,2023-06-15,68793.94,Active
65,37,Mohammed Gupta,Investment Advisor,2016-08-25,74024.05,Active
66,60,Dalbir Bhat,Relationship Manager,2024-04-29,30318.69,Active
67,85,Dakshesh Bedi,Operations Officer,2021-07-16,57588.52,Active
68,95,Yadavi Wali,Customer Service Officer,2014-04-13,32462.01,Active
69,46,Yashoda Buch,Investment Advisor,2026-02-01,74778.78,Active
70,27,Ekapad Bir,Fraud Analyst,2023-02-02,41024.7,Active
71,17,Netra Dar,Investment Advisor,2021-04-17,87471.47,Active
72,93,Balveer Bumb,Fraud Analyst,2018-09-25,86580.57,Active
73,99,Advika Jayaraman,Loan Officer,2022-12-30,71701.48,Active
74,65,William Lanka,Investment Advisor,2018-05-03,230603.72,Active
75,16,Charita Shankar,Credit Analyst,2016-12-24,39998.7,Active
76,87,Aditya Shanker,Customer Service Officer,2022-03-03,35409.35,Active
77,58,Ethan Yogi,Customer Service Officer,2015-03-25,51788.01,Active
78,70,Kevin Palla,Customer Service Officer,2012-10-09,61578.59,Active
79,97,Kala Mane,Investment Advisor,2014-04-15,46613.42,Active
80,68,Chasmum Wadhwa,Customer Service Officer,2011-09-26,75952.18,Active
81,94,Hemang Desai,Credit Analyst,2016-02-07,96490.75,Resigned
82,30,Hredhaan Dugal,Credit Analyst,2016-03-27,80022.9,Active
